date,open_time,open,high,low,close,volume,sma_20,sma_50,sma_200,ema_20,ema_50,rsi,macd,macd_signal,macd_diff,bb_high,bb_low,bb_mid
2017-08-17,1502928000000,301.13,312.18,298.0,302.0,7030.71034,,,,,,,,,,,,
2017-08-18,1503014400000,302.0,311.79,283.94,293.96,9537.84646,,,,,,,,,,,,
2017-08-19,1503100800000,293.31,299.9,278.0,290.91,2146.19773,,,,,,,,,,,,
2017-08-20,1503187200000,289.41,300.53,282.85,299.1,2510.13871,,,,,,,,,,,,
2017-08-21,1503273600000,299.1,346.52,294.6,323.29,5219.44542,,,,,,,,,,,,
2017-08-22,1503360000000,321.04,330.41,144.21,309.8,7956.35088,,,,,,,,,,,,
2017-08-23,1503446400000,312.25,324.99,309.41,315.74,8665.72569,,,,,,,,,,,,
2017-08-24,1503532800000,315.74,328.04,314.01,323.42,6753.27192,,,,,,,,,,,,
2017-08-25,1503619200000,323.42,338.28,323.42,327.24,7125.96962,,,,,,,,,,,,
2017-08-26,1503705600000,327.24,335.44,323.41,330.79,4877.68521,,,,,,,,,,,,
2017-08-27,1503792000000,332.18,348.13,330.73,348.13,4635.43715,,,,,,,,,,,,
2017-08-28,1503878400000,348.11,351.0,331.95,346.0,4279.1817,,,,,,,,,,,,
2017-08-29,1503964800000,347.0,377.6,346.0,374.7,3032.13425,,,,,,,,,,,,
2017-08-30,1504051200000,374.7,393.71,362.05,385.93,4446.59608,,,,,,85.43635619048926,,,,,,
2017-08-31,1504137600000,384.64,389.36,377.78,384.79,4435.86855,,,,,,84.3549386185054,,,,,,
2017-09-01,1504224000000,386.44,394.39,383.18,388.46,4198.68434,,,,,,85.01262982447544,,,,,,
2017-09-02,1504310400000,388.58,394.32,320.08,343.14,8240.32724,,,,,,54.52836347500466,,,,,,
2017-09-03,1504396800000,343.56,367.28,320.08,341.77,5253.62211,,,,,,53.89916210488359,,,,,,
2017-09-04,1504483200000,339.29,344.55,267.94,283.77,6737.81061,,,,,,35.31848960874299,,,,,,
2017-09-05,1504569600000,286.81,321.52,235.55,312.09,8344.41924,331.25149999999996,,,332.2154375759749,,45.24415903390065,,,,394.7211548832589,267.781845116741,331.25149999999996
2017-09-06,1504656000000,313.29,336.34,312.09,335.0,5486.30988,332.9015,,,332.48063399731063,,51.70118658027473,,,,394.9433188885529,270.8596811114471,332.9015
2017-09-07,1504742400000,335.01,342.5,320.17,334.49,3103.89745,334.928,,,332.67200218804294,,51.55543729595249,,,,394.3416100906181,275.5143899093819,334.928
2017-09-08,1504828800000,334.49,335.1,272.0,302.99,4915.75693,335.53200000000004,,,329.8451448368008,,43.414636140781106,,,,393.3680450238431,277.695954976157,335.53200000000004
2017-09-09,1504915200000,300.01,307.0,281.66,296.74,2740.58822,335.414,,,326.69227389996263,,41.99763041127437,,,,393.555707370871,277.27229262912897,335.414
2017-09-10,1505001600000,296.72,302.78,261.03,293.5,4156.45099,333.92449999999997,,,323.53110495710905,,41.24606354833697,,,,394.6990185007664,273.14998149923355,333.92449999999997
2017-09-11,1505088000000,293.51,304.98,285.21,297.3,4829.64647,333.29949999999997,,,321.0329044850034,,42.54472518753282,-4.389220911749817,,,395.2983072385267,271.3006927614732,333.29949999999997
2017-09-12,1505174400000,297.78,316.46,286.01,293.96,5176.31402,332.2105,,,318.4545326292888,,41.6728392218861,-5.885499958599041,,,396.13983957894453,268.2811604210555,332.2105
2017-09-13,1505260800000,293.93,294.5,257.05,276.91,6451.22836,329.885,,,314.49791047411844,,37.45328580695367,-8.350841092642156,,,398.1602015009842,261.60979849901577,329.885
2017-09-14,1505347200000,275.76,283.77,215.0,215.21,12601.95676,324.2835,,,305.04191900039285,,26.85590300654799,-15.10914721085095,,,408.92786101123335,239.63913898876666,324.2835
2017-09-15,1505433600000,217.0,270.93,192.0,253.0,14223.8953,320.394,,,300.08554576226015,,38.359892943630946,-17.21734548339805,,,410.4603953758559,230.3276046241441,320.394
2017-09-16,1505520000000,255.99,271.81,235.51,249.31,10362.06011,315.45300000000003,,,295.2497794991878,,37.73578917509222,-18.967217685725245,,,409.6391535683457,221.26684643165433,315.45300000000003
2017-09-17,1505606400000,249.32,264.39,239.02,257.55,4614.53337,311.03049999999996,,,291.65932430878894,,40.08020823176879,-19.464727614206936,,,407.34625748027935,214.71474251972057,311.03049999999996
2017-09-18,1505692800000,257.53,306.22,257.11,294.57,4125.97051,307.024,,,291.9365315174757,,49.31397452875872,-16.67953194433693,,,398.98021532011853,215.0677846798815,307.024
2017-09-19,1505779200000,296.0,300.0,277.41,284.0,1869.90852,301.9275,,,291.18067137295424,,47.082993356570704,-15.15050933182522,-13.954262627448875,-1.1962467043763443,386.8559277200514,216.99907227994862,301.9275
2017-09-20,1505865600000,284.01,294.0,275.91,282.0,1060.56734,296.788,,,290.30632171838715,,46.65291815203183,-13.939445925078758,-13.951299286974853,0.011853361896095649,373.0334081502617,220.5425918497383,296.788
2017-09-21,1505952000000,285.1,287.0,252.1,257.0,1912.55583,290.21500000000003,,,287.13429107854074,,41.54447766653838,-14.826054983324923,-14.126250426244868,-0.6998045570800553,355.60927207332463,224.82072792667543,290.21500000000003
2017-09-22,1506038400000,258.0,272.97,253.01,264.0,1464.5125,286.258,,,284.9310252615369,,43.412877620936946,-14.793329259918607,-14.259666192979616,-0.5336630669389919,347.8292071020213,224.68679289797865,286.258
2017-09-23,1506124800000,259.99,286.23,255.11,285.93,2824.33572,283.466,,,285.0261657128191,,48.92109597214545,-12.849702789900391,-13.977673512363772,1.127970722463381,339.5332593944095,227.3987406055905,283.466
2017-09-24,1506211200000,286.5,294.61,275.0,282.0,5575.54422,283.37749999999994,,,284.73795945445534,,48.01901527412754,-11.493987432593826,-13.480936296409784,1.9869488638159574,339.4481482484374,227.30685175156248,283.37749999999994
2017-09-25,1506297600000,282.0,299.0,281.34,294.42,5870.48035,282.494,,,285.660058554031,,51.08855617214266,-9.31006243832121,-12.646761524792069,3.3366990864708583,337.26900466453657,227.71899533546346,282.494
2017-09-26,1506384000000,294.42,296.81,286.24,287.9,4566.92804,280.139,,,285.87338631078995,,49.43810963334474,-8.013026474850335,-11.720014514803722,3.706988039953387,329.46025298489485,230.81774701510514,280.139
2017-09-27,1506470400000,289.91,313.0,286.13,309.74,5518.10382,278.9015,,,288.1463971383338,,54.71547726189577,-5.163291443927619,-10.408669900628501,5.245378456700882,323.74453704032544,234.05846295967453,278.9015
2017-09-28,1506556800000,309.81,311.81,296.89,302.44,6600.90922,278.87399999999997,,,289.5076926489687,,52.73421731398444,-3.4540883120773174,-9.017753582918266,5.563665270840948,323.6585506397016,234.08944936029832,278.87399999999997
2017-09-29,1506643200000,302.44,303.0,274.0,292.22,11089.19902,278.648,,,289.7660076347812,,50.00428899372593,-2.8908768747351132,-7.792378241281636,4.901501366546523,323.11412220556235,234.18187779443772,278.648
2017-09-30,1506729600000,292.62,307.49,292.22,304.36,4020.60795,279.191,,,291.155911669564,,53.10953326525938,-1.4482368383588096,-6.523549960697071,5.075313122338262,324.6240456386098,233.75795436139018,279.191
2017-10-01,1506816000000,305.13,306.0,294.0,303.95,5060.05758,279.5235,,,292.37439627246266,,52.98983016428274,-0.3341657347779119,-5.28567311551324,4.951507380735328,325.5749261559835,233.4720738440165,279.5235
2017-10-02,1506902400000,303.94,305.0,295.0,296.5,3710.83747,279.6505,,,292.7673109131805,,50.751427183979274,-0.05181184183243204,-4.238900860777078,4.187089018944646,325.87416427491445,233.4268357250856,279.6505
2017-10-03,1506988800000,298.15,301.99,283.18,292.48,5546.85702,280.429,,,292.7399479690681,,49.53547487361476,-0.15068771668330783,-3.4212582319583245,3.2705705152750166,326.96522283769923,233.89277716230072,280.429
2017-10-04,1507075200000,292.47,297.97,288.0,291.99,4014.88792,284.268,,,292.6685243529664,,49.38017339038729,-0.26552565035063935,-2.7901117156367876,2.5245860652861483,320.0827470185118,248.45325298148816,284.268
2017-10-05,1507161600000,290.0,297.44,285.53,294.81,3412.39016,286.3585,305.026,,292.8724744145887,297.80720255220945,50.345023313972284,-0.12751519210888773,-2.2575924109312075,2.13007721882232,319.4024787404604,253.31452125953956,286.3585
